Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-06-25,16:51:02,PNQ2363526,Cancelled by Driver,CID1521022,Go Sedan,Chinchwad,Akurdi,,,,,1.0,Vehicle breakdown,,,,,,,
2024-08-23,15:59:24,PNQ1953577,Incomplete,CID5509274,Bike,Pune Station,Kharadi,2.9,7.5,,,,,1.0,Vehicle Breakdown,114.0,7.51,,,
2024-02-10,15:53:40,PNQ7164858,Completed,CID4683764,Auto,Pune Station,Akurdi,1.0,5.7,,,,,,,314.0,17.87,4.3,4.7,UPI
2024-11-12,20:23:36,PNQ3110318,Cancelled by Driver,CID4168603,Go Sedan,Akurdi,Vishrantwadi,,,,,1.0,Vehicle breakdown,,,,,,,
2024-04-08,17:02:42,PNQ8559713,Completed,CID3984843,Go Mini,Swargate,Shivajinagar,6.0,10.4,,,,,,,152.0,3.47,4.2,4.4,UPI
2024-04-26,18:05:54,PNQ3507771,Cancelled by Customer,CID7480098,Prime SUV,Baner,Chinchwad,,,1.0,Driver asked to cancel,,,,,,,,,
2024-04-29,19:24:17,PNQ1444807,Completed,CID5324370,Auto,Kothrud,Nigdi,3.6,33.2,,,,,,,332.0,18.06,3.9,4.6,UPI
2024-08-20,16:23:10,PNQ1756442,Cancelled by Customer,CID5653346,Go Sedan,Akurdi,Kharadi,,,1.0,Driver was too far,,,,,,,,,
2024-07-08,11:42:17,PNQ6464893,No Driver Found,CID5477365,Go Mini,Hinjewadi Phase 3,Swargate,,,,,,,,,,,,,
2024-12-25,21:41:04,PNQ5275540,Cancelled by Customer,CID7282883,Auto,Pimpri,Airport Road,,,1.0,Wait time too long,,,,,,,,,
2024-11-07,16:34:46,PNQ7678099,No Driver Found,CID9568069,Auto,Swargate,Wakad,,,,,,,,,,,,,
2024-05-05,08:24:17,PNQ4995670,Completed,CID2599276,Go Mini,Hinjewadi Phase 2,Hinjewadi Phase 3,22.5,37.3,,,,,,,148.0,4.17,4.1,4.5,Ola Money
2024-11-23,17:14:43,PNQ2710237,Completed,CID7798635,Go Mini,Akurdi,Pune Station,11.0,23.4,,,,,,,478.0,20.64,3.7,4.7,UPI
2024-06-15,19:49:03,PNQ8086164,Completed,CID6066381,Auto,Kharadi,Nigdi,14.7,30.9,,,,,,,440.0,20.08,4.5,4.9,UPI
2024-04-27,19:51:20,PNQ5657119,Completed,CID5586464,Prime Sedan,Airport Road,Vishrantwadi,9.9,5.6,,,,,,,146.0,3.9,4.0,4.8,UPI
2024-07-24,09:13:58,PNQ7862890,Completed,CID7976146,Auto,Wakad,Viman Nagar,3.8,15.7,,,,,,,422.0,20.27,3.9,4.7,UPI
2024-10-17,19:20:13,PNQ1655497,Cancelled by Driver,CID2609528,Prime Sedan,Hinjewadi Phase 2,Katraj,,,,,1.0,Vehicle breakdown,,,,,,,
2024-12-01,14:56:58,PNQ7706275,Completed,CID6508015,Bike,Wagholi,Kalyani Nagar,1.3,3.0,,,,,,,84.0,8.91,4.3,4.5,Cash
2024-11-25,13:16:08,PNQ7741622,Completed,CID3652392,Auto,Swargate,Koregaon Park,5.4,6.5,,,,,,,72.0,3.12,4.4,4.8,Cash
2024-05-06,18:34:16,PNQ6185271,Cancelled by Driver,CID9461441,Auto,Hinjewadi Phase 1,Kharadi,,,,,1.0,Vehicle breakdown,,,,,,,
2024-10-26,12:37:25,PNQ4371731,Cancelled by Driver,CID7880466,Auto,Kharadi,Magarpatta,,,,,1.0,Customer cancelled trip,,,,,,,
2024-07-04,08:08:32,PNQ3695375,Incomplete,CID2902512,Bike,Vishrantwadi,Magarpatta,6.0,19.9,,,,,1.0,Route issue,220.0,12.17,,,
2024-09-09,07:03:55,PNQ5005627,Completed,CID6500483,Go Sedan,Pimpri,Katraj,3.9,12.6,,,,,,,433.0,19.72,4.7,4.3,Credit Card
2024-02-26,08:10:50,PNQ9134482,Completed,CID2833944,Auto,Lohegaon,Katraj,2.8,4.6,,,,,,,332.0,16.85,4.3,4.7,Credit Card
2024-12-14,12:04:24,PNQ6615855,Completed,CID7067364,Auto,Kharadi,Lohegaon,5.5,12.4,,,,,,,127.0,4.76,4.2,4.6,Cash
2024-07-14,16:29:33,PNQ6518776,Cancelled by Driver,CID7923648,Prime SUV,Nigdi,Hinjewadi Phase 3,,,,,1.0,Customer not reachable,,,,,,,
2024-05-08,22:55:00,PNQ4533182,Completed,CID8823666,Auto,Hadapsar,Baner,1.7,11.3,,,,,,,231.0,13.13,4.2,4.6,Cash
2024-12-14,17:43:56,PNQ9644296,Incomplete,CID6061034,Go Mini,Dhanori,Pimpri,8.5,2.9,,,,,1.0,Customer dispute,322.0,10.94,,,
2024-10-01,18:49:41,PNQ9736134,Cancelled by Driver,CID1305603,Auto,Dhanori,Aundh,,,,,1.0,Customer cancelled trip,,,,,,,
2024-06-23,07:27:10,PNQ4383081,Completed,CID9165807,Auto,Shivajinagar,Dhanori,4.4,5.2,,,,,,,209.0,10.02,4.7,4.2,Credit Card
2024-08-20,00:46:56,PNQ4772763,Completed,CID5232811,Bike,Wagholi,Koregaon Park,3.5,1.8,,,,,,,183.0,12.13,4.6,5.0,Cash
2024-05-14,22:48:11,PNQ4803995,No Driver Found,CID2602147,Bike,Wagholi,Undri,,,,,,,,,,,,,
2024-09-16,20:55:40,PNQ2491457,Completed,CID8363017,Go Mini,Magarpatta,Dhanori,1.7,3.0,,,,,,,284.0,9.08,3.9,4.5,Cash
2024-06-01,19:32:38,PNQ5419464,No Driver Found,CID1489675,Auto,Koregaon Park,Undri,,,,,,,,,,,,,
2024-04-11,08:48:10,PNQ5177474,Cancelled by Customer,CID8106560,Auto,Airport Road,Kothrud,,,1.0,Wait time too long,,,,,,,,,
2024-10-03,21:59:33,PNQ3594884,Incomplete,CID1275412,Go Mini,Airport Road,Hinjewadi Phase 1,13.0,17.0,,,,,1.0,Vehicle Breakdown,299.0,16.51,,,
2024-01-01,16:31:01,PNQ7000458,Completed,CID2663726,Auto,Koregaon Park,Akurdi,2.0,6.8,,,,,,,253.0,18.04,4.3,4.6,Credit Card
2024-02-27,21:56:53,PNQ5792011,Completed,CID3334915,Auto,Airport Road,Shivajinagar,7.1,19.6,,,,,,,155.0,5.17,4.8,4.0,UPI
2024-06-06,09:15:56,PNQ9576779,Completed,CID6771216,Auto,Undri,Vishrantwadi,4.1,34.9,,,,,,,343.0,15.52,4.1,4.5,Ola Money
2024-10-17,21:05:46,PNQ6447484,Cancelled by Customer,CID8376102,Auto,Kharadi,Pune Station,,,1.0,Change of plans,,,,,,,,,
2024-09-05,18:48:34,PNQ3761342,Completed,CID2041392,Auto,Chinchwad,Koregaon Park,2.1,3.1,,,,,,,351.0,16.12,4.5,4.3,Ola Money
2024-03-05,07:30:35,PNQ9417113,Cancelled by Driver,CID7591997,Auto,Katraj,Kalyani Nagar,,,,,1.0,Customer not reachable,,,,,,,
2024-03-25,09:55:38,PNQ3916847,Completed,CID1514210,Go Mini,Nigdi,Balewadi,10.4,8.9,,,,,,,276.0,10.49,4.3,4.8,UPI
2024-08-04,22:59:34,PNQ1133955,Completed,CID3605682,Prime SUV,Hinjewadi Phase 3,Magarpatta,1.0,13.5,,,,,,,956.0,26.63,4.1,4.6,Ola Money
2024-12-19,08:19:25,PNQ7607063,Cancelled by Driver,CID9908346,Auto,Balewadi,Lohegaon,,,,,1.0,Customer not reachable,,,,,,,
2024-12-09,16:28:57,PNQ8208106,No Driver Found,CID3779539,Auto,Undri,Deccan Gymkhana,,,,,,,,,,,,,
2024-09-21,13:15:14,PNQ8294265,Completed,CID3481171,Bike,Aundh,Kharadi,4.9,13.1,,,,,,,206.0,14.05,4.3,4.4,UPI
2024-02-02,10:37:35,PNQ6400106,Cancelled by Driver,CID5455064,Auto,Swargate,Vishrantwadi,,,,,1.0,Traffic too heavy,,,,,,,
2024-04-27,16:00:04,PNQ4483641,Completed,CID8346426,Prime Sedan,Deccan Gymkhana,Lohegaon,10.0,43.6,,,,,,,254.0,11.04,4.1,4.5,UPI
2024-12-28,16:14:04,PNQ5340082,No Driver Found,CID2122883,Go Sedan,Aundh,Chinchwad,,,,,,,,,,,,,
2024-01-17,19:04:32,PNQ9388546,Cancelled by Driver,CID6235802,Go Sedan,NIBM Road,Baner,,,,,1.0,Customer cancelled trip,,,,,,,
2024-05-01,09:31:13,PNQ8523893,Completed,CID8985261,Auto,Baner,Hinjewadi Phase 3,2.8,24.7,,,,,,,200.0,7.65,3.9,4.5,UPI
2024-10-03,07:59:56,PNQ2470805,No Driver Found,CID1862758,Auto,Nigdi,Viman Nagar,,,,,,,,,,,,,
2024-10-19,15:15:50,PNQ1586609,Completed,CID7874313,Auto,Wagholi,Hinjewadi Phase 1,3.1,33.1,,,,,,,325.0,22.9,4.3,4.0,Cash
2024-08-30,18:12:06,PNQ1356851,Incomplete,CID9190563,Auto,Kalyani Nagar,Undri,2.0,14.8,,,,,1.0,Route issue,228.0,8.29,,,
2024-02-19,17:22:27,PNQ1359733,Completed,CID6861647,Auto,NIBM Road,Katraj,6.5,21.3,,,,,,,166.0,8.11,4.4,4.5,UPI
2024-07-29,13:46:03,PNQ3544364,Completed,CID7585997,Auto,Vishrantwadi,Airport Road,3.0,12.2,,,,,,,88.0,4.81,4.3,4.8,Debit Card
2024-12-10,16:41:06,PNQ2382855,Cancelled by Driver,CID6525365,Go Sedan,Deccan Gymkhana,Lohegaon,,,,,1.0,Customer cancelled trip,,,,,,,
2024-02-01,12:21:51,PNQ1002018,Cancelled by Driver,CID1552303,Bike,Vishrantwadi,Kharadi,,,,,1.0,Customer cancelled trip,,,,,,,
2024-02-25,09:12:34,PNQ1658510,Completed,CID1306699,Bike,Swargate,Hadapsar,6.2,15.2,,,,,,,140.0,5.02,5.0,4.8,UPI
2024-08-17,07:11:17,PNQ1328577,Completed,CID1316876,Bike,Hinjewadi Phase 2,Katraj,4.5,9.3,,,,,,,265.0,19.86,5.0,4.2,UPI
2024-08-24,09:59:04,PNQ4443103,Completed,CID4062916,Go Sedan,Katraj,Koregaon Park,1.9,28.4,,,,,,,323.0,9.57,4.5,3.9,UPI
2024-08-14,18:54:35,PNQ3815291,Completed,CID2898499,Go Sedan,Wagholi,Hinjewadi Phase 2,1.7,32.2,,,,,,,670.0,23.97,3.7,4.5,Cash
2024-02-20,05:34:53,PNQ8015126,Completed,CID8563582,Auto,Koregaon Park,Dhanori,11.4,23.9,,,,,,,77.0,5.59,4.0,4.4,Cash
2024-01-08,22:59:48,PNQ7697241,Cancelled by Driver,CID8478537,Prime Sedan,Wagholi,Nigdi,,,,,1.0,Traffic too heavy,,,,,,,
2024-05-01,08:31:30,PNQ7867732,Cancelled by Driver,CID8070396,Prime Sedan,Aundh,Baner,,,,,1.0,Personal issue,,,,,,,
2024-04-19,19:57:03,PNQ2510538,Completed,CID6090715,Go Mini,Kharadi,Airport Road,4.9,2.8,,,,,,,50.0,1.11,3.7,4.5,Ola Money
2024-03-25,11:24:16,PNQ8826474,Completed,CID8464409,Prime Sedan,Lohegaon,Kharadi,6.6,4.3,,,,,,,201.0,6.89,3.8,4.2,Cash
2024-08-20,09:44:46,PNQ1219428,Completed,CID1117465,Go Mini,Kothrud,Chinchwad,2.4,9.1,,,,,,,364.0,15.3,4.2,4.3,UPI
2024-10-11,17:31:09,PNQ9524995,No Driver Found,CID6205651,Prime Sedan,Koregaon Park,Wakad,,,,,,,,,,,,,
2024-04-07,10:03:37,PNQ9580472,Completed,CID7872579,Go Mini,Hinjewadi Phase 3,Aundh,3.0,7.1,,,,,,,233.0,9.0,4.5,3.9,UPI
2024-10-04,06:20:03,PNQ7812225,Completed,CID1481747,Bike,Kalyani Nagar,Baner,4.7,54.2,,,,,,,196.0,13.59,3.9,4.3,Ola Money
2024-01-26,15:32:58,PNQ5308858,Cancelled by Driver,CID2376792,Auto,Hadapsar,Vishrantwadi,,,,,1.0,Customer cancelled trip,,,,,,,
2024-09-28,08:32:05,PNQ6174775,Completed,CID7769798,Auto,Baner,Kothrud,6.2,28.6,,,,,,,172.0,6.54,4.2,4.6,UPI
2024-04-05,06:04:43,PNQ2166015,Completed,CID6725780,Auto,NIBM Road,Aundh,2.7,46.5,,,,,,,196.0,11.87,3.9,4.5,Cash
2024-04-30,12:56:36,PNQ7567940,Cancelled by Driver,CID7683349,Go Sedan,Kothrud,Kalyani Nagar,,,,,1.0,Traffic too heavy,,,,,,,
2024-05-06,15:02:39,PNQ3409955,Cancelled by Customer,CID2163404,Auto,Baner,Akurdi,,,1.0,Wait time too long,,,,,,,,,
2024-02-11,12:37:36,PNQ9290990,Cancelled by Driver,CID3377454,Prime Sedan,Hinjewadi Phase 2,NIBM Road,,,,,1.0,Customer cancelled trip,,,,,,,
2024-09-24,10:16:13,PNQ9158107,Completed,CID6207688,Auto,Airport Road,Katraj,13.5,9.9,,,,,,,367.0,16.51,3.7,3.7,Cash
2024-12-08,17:15:16,PNQ7945567,Completed,CID8321917,Bike,Wakad,Vishrantwadi,14.1,6.9,,,,,,,141.0,12.33,4.4,3.8,Ola Money
2024-07-21,07:41:19,PNQ6799652,Cancelled by Customer,CID7907630,Go Mini,Pimpri,Viman Nagar,,,1.0,Got another ride,,,,,,,,,
2024-08-22,10:48:59,PNQ1059008,Completed,CID3256649,Auto,Shivajinagar,Hinjewadi Phase 2,3.6,12.6,,,,,,,384.0,14.0,4.5,4.5,Ola Money
2024-02-07,01:39:36,PNQ3478300,Cancelled by Driver,CID6574040,Go Mini,Baner,Hinjewadi Phase 1,,,,,1.0,Vehicle breakdown,,,,,,,
2024-02-21,06:13:32,PNQ5949268,Completed,CID7915923,Go Sedan,Pimpri,Hadapsar,3.0,2.2,,,,,,,398.0,18.49,4.3,4.5,UPI
2024-05-15,07:22:56,PNQ3714657,Cancelled by Driver,CID6818682,Auto,Lohegaon,Aundh,,,,,1.0,Customer not reachable,,,,,,,
2024-02-05,20:23:18,PNQ6947010,Completed,CID2077932,Prime Sedan,NIBM Road,Deccan Gymkhana,0.8,10.8,,,,,,,356.0,8.52,4.1,4.2,UPI
2024-03-21,12:34:45,PNQ2047377,Completed,CID3360771,Go Sedan,Vishrantwadi,Koregaon Park,9.4,12.8,,,,,,,199.0,9.92,4.7,4.9,UPI
2024-06-03,16:51:41,PNQ2427336,Completed,CID7236090,Bike,Kharadi,Koregaon Park,2.3,24.7,,,,,,,105.0,5.07,4.1,4.3,UPI
2024-09-27,01:52:35,PNQ3585870,Completed,CID2115004,Go Mini,Hinjewadi Phase 2,Chinchwad,6.5,17.0,,,,,,,175.0,8.26,3.2,4.5,Cash
2024-06-02,21:06:56,PNQ3233245,Completed,CID8079676,Auto,Shivajinagar,Nigdi,2.3,14.1,,,,,,,304.0,15.74,4.4,4.4,UPI
2024-03-09,09:56:06,PNQ2953385,Cancelled by Driver,CID3273027,Bike,Airport Road,Hinjewadi Phase 3,,,,,1.0,Customer cancelled trip,,,,,,,
2024-10-10,08:18:38,PNQ7065854,Completed,CID9420505,Bike,Baner,Wakad,0.2,31.1,,,,,,,156.0,7.63,4.3,4.5,UPI
2024-04-17,17:13:43,PNQ4377699,Completed,CID1493457,Bike,Kalyani Nagar,Chinchwad,10.6,8.7,,,,,,,211.0,14.17,3.8,4.9,UPI
2024-11-20,19:32:31,PNQ7181152,Completed,CID3936393,Auto,Magarpatta,NIBM Road,7.5,10.9,,,,,,,138.0,3.51,4.6,4.0,Ola Money
2024-05-08,20:54:03,PNQ4401792,Cancelled by Customer,CID7408817,Auto,Koregaon Park,Pimpri,,,1.0,Wrong vehicle type shown,,,,,,,,,
2024-02-17,16:53:17,PNQ8658887,Cancelled by Driver,CID2832460,Bike,Kothrud,Katraj,,,,,1.0,Vehicle breakdown,,,,,,,
2024-01-23,00:49:08,PNQ6497840,Cancelled by Driver,CID5610105,Prime Sedan,Kalyani Nagar,Airport Road,,,,,1.0,Vehicle breakdown,,,,,,,
2024-11-22,22:10:47,PNQ3621813,Completed,CID4003887,Bike,Chinchwad,Hadapsar,4.6,54.6,,,,,,,270.0,18.86,3.6,4.5,Debit Card
2024-08-14,15:27:35,PNQ9072345,Completed,CID3552564,Auto,Wagholi,Undri,9.9,25.9,,,,,,,224.0,12.86,4.1,4.8,Cash
2024-01-05,07:56:44,PNQ2225261,Completed,CID9822616,Prime Sedan,Nigdi,Katraj,8.1,33.5,,,,,,,797.0,27.83,4.0,4.2,UPI
2024-03-17,15:53:23,PNQ8784576,Completed,CID5905668,Auto,Airport Road,Akurdi,10.7,23.0,,,,,,,277.0,17.44,4.1,4.2,UPI
2024-10-25,15:27:08,PNQ7629218,Cancelled by Customer,CID9374084,Prime Sedan,Kothrud,Deccan Gymkhana,,,1.0,Change of plans,,,,,,,,,
2024-01-22,10:57:59,PNQ7616537,Completed,CID5815167,Auto,Swargate,Hinjewadi Phase 1,4.3,5.3,,,,,,,368.0,15.95,3.7,4.2,UPI
2024-01-21,20:13:43,PNQ2950343,Completed,CID7451329,Bike,Magarpatta,Chinchwad,9.3,12.2,,,,,,,304.0,21.73,3.8,4.3,Cash
2024-05-07,17:22:49,PNQ7307615,Incomplete,CID9165172,Bike,Viman Nagar,Hadapsar,2.9,15.1,,,,,1.0,Vehicle Breakdown,122.0,5.88,,,
2024-10-13,20:26:39,PNQ3805489,Completed,CID9748714,Bike,NIBM Road,Deccan Gymkhana,1.1,10.1,,,,,,,139.0,6.7,4.4,4.4,Cash
2024-03-20,21:15:55,PNQ5842395,Cancelled by Driver,CID6768326,Go Mini,Koregaon Park,Viman Nagar,,,,,1.0,Traffic too heavy,,,,,,,
2024-03-24,22:51:11,PNQ3286693,Completed,CID3052252,Go Mini,Swargate,Airport Road,8.3,13.7,,,,,,,172.0,8.52,4.0,4.7,UPI
2024-07-30,03:47:59,PNQ4186607,No Driver Found,CID4530941,Go Sedan,Akurdi,Baner,,,,,,,,,,,,,
2024-06-19,18:26:51,PNQ4566855,Completed,CID8084025,Go Mini,Vishrantwadi,Akurdi,6.7,20.7,,,,,,,400.0,14.6,4.2,5.0,UPI
2024-12-08,19:51:15,PNQ9900657,No Driver Found,CID9850972,Prime Sedan,Nigdi,Baner,,,,,,,,,,,,,
2024-05-16,08:44:06,PNQ1417422,Completed,CID2235987,Go Mini,Wagholi,Akurdi,4.0,23.6,,,,,,,530.0,25.38,3.8,4.7,UPI
2024-07-14,19:54:30,PNQ2835483,Completed,CID5598733,Auto,Wagholi,Kothrud,4.4,4.6,,,,,,,458.0,18.75,3.5,4.9,UPI
2024-04-23,08:58:29,PNQ1812880,Completed,CID1366998,Go Sedan,Wagholi,Akurdi,3.9,46.0,,,,,,,729.0,23.27,4.9,4.0,UPI
2024-06-28,10:50:55,PNQ8959248,Completed,CID5613288,Go Sedan,Viman Nagar,Wagholi,3.4,44.0,,,,,,,150.0,4.46,4.7,4.4,Debit Card
2024-04-26,09:42:12,PNQ1745516,Completed,CID5472417,Prime SUV,Deccan Gymkhana,Katraj,0.3,3.5,,,,,,,400.0,8.92,3.5,3.9,Cash
2024-07-23,10:55:04,PNQ2939048,No Driver Found,CID7310992,Bike,Lohegaon,Katraj,,,,,,,,,,,,,
2024-05-22,11:32:25,PNQ8357283,Completed,CID4891649,Prime Sedan,Koregaon Park,Vishrantwadi,1.9,4.0,,,,,,,219.0,8.26,4.2,4.3,UPI
2024-12-13,22:34:21,PNQ8733733,Cancelled by Customer,CID6647758,Auto,Viman Nagar,Pimpri,,,1.0,Change of plans,,,,,,,,,
2024-01-15,07:16:11,PNQ5927218,Completed,CID1654428,Prime Sedan,Hinjewadi Phase 1,Hadapsar,8.5,3.0,,,,,,,667.0,22.72,3.9,4.4,Cash
2024-10-24,22:16:02,PNQ6175907,Completed,CID1714233,Go Sedan,Nigdi,Undri,2.1,23.4,,,,,,,524.0,28.52,4.2,4.4,UPI
2024-02-25,16:22:46,PNQ7647856,Completed,CID3248873,Auto,Aundh,Airport Road,5.3,13.0,,,,,,,189.0,11.8,4.3,3.9,Credit Card
2024-06-09,12:32:07,PNQ1330993,Cancelled by Driver,CID8552726,Auto,Deccan Gymkhana,Lohegaon,,,,,1.0,Personal issue,,,,,,,
2024-07-16,20:12:16,PNQ4708586,Completed,CID3299351,Auto,Akurdi,Lohegaon,3.6,22.7,,,,,,,388.0,17.41,4.5,4.2,Credit Card
2024-01-23,17:00:33,PNQ5966366,Completed,CID2569791,Auto,Hinjewadi Phase 1,Swargate,2.2,6.3,,,,,,,226.0,13.08,4.5,4.8,Credit Card
2024-10-02,17:47:47,PNQ7295779,Completed,CID8492769,Go Mini,Kharadi,Balewadi,9.7,6.7,,,,,,,424.0,18.18,4.5,4.9,UPI
2024-12-09,08:27:04,PNQ5451514,Completed,CID2707882,Go Sedan,Kothrud,Magarpatta,4.5,10.3,,,,,,,361.0,14.15,4.0,4.7,Debit Card
2024-12-06,20:39:20,PNQ2964330,Cancelled by Driver,CID5473119,Prime SUV,Akurdi,Baner,,,,,1.0,Vehicle breakdown,,,,,,,
2024-12-05,19:46:57,PNQ9176697,Completed,CID3086779,Go Mini,Pune Station,Pimpri,2.4,12.6,,,,,,,354.0,16.92,3.8,4.4,Ola Money
2024-06-02,14:42:26,PNQ6426400,Cancelled by Customer,CID2771866,Bike,Undri,Pune Station,,,1.0,Driver was too far,,,,,,,,,
2024-06-16,12:18:35,PNQ1159890,Cancelled by Driver,CID3247172,Auto,Hadapsar,Akurdi,,,,,1.0,Personal issue,,,,,,,
2024-03-06,08:42:24,PNQ8646522,Completed,CID2832735,Auto,Kothrud,Kalyani Nagar,0.4,18.9,,,,,,,244.0,11.15,4.3,4.6,Cash
2024-12-12,18:11:39,PNQ4392472,Completed,CID4029233,Bike,Hinjewadi Phase 3,Hinjewadi Phase 2,9.2,34.5,,,,,,,51.0,1.0,4.1,4.7,UPI
2024-10-18,10:35:53,PNQ2596561,Completed,CID1682375,Auto,Hinjewadi Phase 3,Dhanori,2.9,30.4,,,,,,,429.0,17.31,4.1,4.2,UPI
2024-01-01,10:13:27,PNQ3215070,No Driver Found,CID6815702,Go Sedan,Hinjewadi Phase 1,Lohegaon,,,,,,,,,,,,,
2024-10-23,16:20:29,PNQ4438263,Completed,CID9758429,Go Sedan,Dhanori,Lohegaon,1.9,24.1,,,,,,,73.0,1.0,4.5,4.5,Credit Card
2024-08-14,12:13:32,PNQ4735107,Completed,CID9424687,Auto,Balewadi,Deccan Gymkhana,1.2,6.7,,,,,,,199.0,9.25,3.9,4.4,Ola Money
2024-08-30,18:50:47,PNQ2934321,Completed,CID9444897,Auto,Shivajinagar,Aundh,2.3,14.7,,,,,,,114.0,4.27,4.8,4.3,UPI
2024-03-27,17:18:32,PNQ6349518,Completed,CID5887785,Prime Sedan,Aundh,NIBM Road,5.5,2.8,,,,,,,526.0,13.27,4.6,4.9,Ola Money
2024-12-05,16:21:05,PNQ4796022,Completed,CID2132279,Prime Sedan,Vishrantwadi,Pimpri,5.0,14.6,,,,,,,223.0,10.21,4.1,5.0,UPI
2024-04-30,17:14:51,PNQ5575320,Completed,CID4288095,Auto,Deccan Gymkhana,Hadapsar,5.4,17.6,,,,,,,221.0,10.04,3.7,5.0,Cash
2024-04-11,08:02:15,PNQ9366198,Completed,CID7556663,Prime Sedan,Wagholi,Akurdi,11.4,7.9,,,,,,,735.0,23.36,3.4,4.4,UPI
2024-08-31,16:49:04,PNQ7330309,Completed,CID3825285,Go Mini,Aundh,Undri,9.8,19.2,,,,,,,321.0,14.98,3.8,4.5,Cash
2024-08-21,12:40:36,PNQ3903578,Completed,CID7292628,Auto,Deccan Gymkhana,Airport Road,3.2,8.6,,,,,,,231.0,12.65,4.3,3.8,UPI
2024-04-09,17:24:31,PNQ2728997,Completed,CID4530020,Prime SUV,Kothrud,NIBM Road,7.0,6.2,,,,,,,497.0,10.83,4.8,4.0,UPI
2024-07-23,09:41:44,PNQ9221239,Completed,CID2523591,Bike,Kharadi,Chinchwad,10.0,8.7,,,,,,,327.0,21.03,4.9,4.2,Cash
2024-01-03,20:55:49,PNQ5810351,Completed,CID4717790,Auto,Hinjewadi Phase 2,Viman Nagar,11.5,7.5,,,,,,,452.0,21.4,4.7,4.7,UPI
2024-02-24,18:14:11,PNQ2199696,Completed,CID6056899,Go Mini,Hinjewadi Phase 1,Airport Road,5.8,9.2,,,,,,,496.0,21.66,5.0,4.6,Ola Money
2024-12-22,14:03:35,PNQ1500304,Completed,CID5282148,Bike,Magarpatta,Wagholi,10.9,43.4,,,,,,,81.0,4.62,4.3,3.8,Ola Money
2024-05-07,20:07:29,PNQ4712476,No Driver Found,CID8113739,Bike,Chinchwad,Balewadi,,,,,,,,,,,,,
2024-03-09,18:42:33,PNQ8592231,Completed,CID1461093,Prime Sedan,Chinchwad,Hadapsar,2.9,17.1,,,,,,,663.0,20.08,3.7,3.8,Ola Money
2024-10-13,16:48:57,PNQ6845789,Cancelled by Customer,CID8820568,Prime Sedan,Airport Road,Kharadi,,,1.0,Driver asked to cancel,,,,,,,,,
2024-08-14,16:46:57,PNQ2754691,Completed,CID9592195,Go Sedan,Akurdi,Nigdi,4.3,8.6,,,,,,,50.0,1.0,4.1,4.2,Credit Card
2024-09-15,12:58:35,PNQ6002455,Completed,CID2156902,Auto,Balewadi,Pimpri,1.9,5.1,,,,,,,170.0,6.98,4.3,4.3,UPI
2024-08-16,20:47:55,PNQ2785864,Completed,CID9570508,Go Sedan,Hinjewadi Phase 3,Undri,3.5,9.7,,,,,,,661.0,22.28,4.1,4.8,UPI
